grantee,grantee_url,description,Award Date,Amount,Term,Program
"Root Cause Institute, Inc.",http://www.rootcause.org,To subsidize attendance at the American Promise screening and panel discussion.,12/ 4/2013,"$1,000",3 months,Memberships & Sponsorships
"Technology Affinity Group, Inc.",http://www.tagtech.org,Barr Foundation membership,12/ 4/2013,"$2,000",12 months,Memberships & Sponsorships
"The Boston Foundation, Inc.",http://www.tpi.org,Barr Foundation membership dues for New England International Donors,12/ 4/2013,"$1,500",12 months,Global
"Third Sector New England, Inc.",http://www.tsne.org,To support the Center to Support Immigrant Organizing’s Network of Immigrant and African American Solidarity.,12/ 4/2013,"$170,000",24 months,Sector Effectiveness
"Third Sector New England, Inc.",http://www.tsne.org,Barr Foundation membership dues for the Early Childhood Funders Collaborative,12/ 4/2013,"$5,000",12 months,Memberships & Sponsorships
Tides Center,http://www.tides.org,Barr Foundation member support for the Emerging Practitioners in Philanthropy Boston Chapter,12/ 4/2013,"$1,500",12 months,Memberships & Sponsorships
Trustees of Boston University,http://www.bu.edu,"To support the Institute of Nonprofit Management and Leadership’s Core Certificate and Community Fellows Program, which is now operating in partnership with Tufts University.",12/ 4/2013,"$225,000",36 months,Sector Effectiveness
University of Washington,http://uw.edu,To evaluate the Pharmacy Assistant Program in Malawi.,12/ 4/2013,"$225,000",36 months,Global
"Urbano Project, Inc.",http://www.urbanoproject.org,"To provide capacity-building support in the form of multi-year operating support, training, and technical assistance through the Barr-Klarman Arts Capacity Building Initiative.",12/ 4/2013,"$50,000",24 months,Arts & Creativity
Mayor's Office of New Bostonians,http://www.cityofboston.gov/newbostonians,To support We Are Boston 2013.,11/17/2013,"$1,000",12 months,Memberships & Sponsorships
"Rockefeller Philanthropy Advisors, Inc.",http://www.rockpa.org,"To support creative placemaking grants, research, and field-building through ArtPlace America.",11/14/2013,"$1,000,000",24 months,Arts & Creativity
Massachusetts Executive Office of Energy and Environmental Affairs,http://www.mass.gov/eea,To maintain a data analyst who will finish implementing the Clean Energy and Climate Performance Management System.,10/17/2013,"$30,000",12 months,Climate
Massachusetts Department of Elementary and Secondary Education,http://www.doe.mass.edu,To support a fund to help Massachusetts school districts to better integrate college- and career-readiness strategies.,9/20/2013,"$50,000",12 months,Founding Trustee-directed
"Third Sector New England, Inc.",http://www.tsne.org,To research and publish a second edition of a nonprofit compensation and benefits study.,9/14/2013,"$3,000",12 months,Sector Effectiveness
Boston Asian Youth Essential Service,http://www.bostonasianyes.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
City of Boston,http://www.cityofboston.gov,To update the City of Boston's Climate Action Plan.,9/11/2013,"$170,000",18 months,Climate
"Dudley Street Neighborhood Initiative, Inc.",http://www.dsni.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$102,000",24 months,Arts & Creativity
"Environmental Defense Fund, Inc.",http://www.edf.org/,To place EDF Climate Corps fellows at Boston-based organizations in 2014 and 2015.,9/11/2013,"$500,000",24 months,Climate
"Environmental League of Massachusetts, Inc.",http://environmentalleague.org,To facilitate the Global Warming Solutions Project.,9/11/2013,"$340,000",24 months,Climate
Fidelity Charitable Gift Fund,http://www.charitablegift.org,To support grantmaking.,9/11/2013,"$750,000",12 months,
"Funders’ Network for Smart Growth and Livable Communities, Inc.",http://www.fundersnetwork.org,To facilitate collaboration and best-practice sharing among foundations working on transportation and smart growth.,9/11/2013,"$267,500",24 months,Climate
"Greater Boston Nazarene Compassionate Center, Inc.",http://www.gbncc.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
"Hawthorne Youth and Community Center, Inc.",https://www.hyccroxbury.org/,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
"Hyde Square Task Force, Inc.",http://www.hydesquare.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
"Ideas in Action, Inc.",http://www.tedxbeaconstreet.com,To support the 2013 TEDxBeaconStreet conference and adventures.,9/11/2013,"$15,000",12 months,Sector Effectiveness
Inquilinos Boricuas en Accion,http://www.iba-etc.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
KOMAZA,http://www.komaza.org,To strengthen operations and expand the business model designed to lift smallholder farmers in Africa’s semi-arid regions out of poverty.,9/11/2013,"$600,000",24 months,Global
Massachusetts Cultural Council,http://www.massculturalcouncil.org,To support the YouthReach at Twenty: National Summit on Creative Youth Development.,9/11/2013,"$25,000",12 months,Arts & Creativity
"Massachusetts Nonprofit Network, Inc.",http://www.massnonprofitnet.org,To provide operating support.,9/11/2013,"$100,000",36 months,Sector Effectiveness
"Maverick Landing Community Services, Inc.",http://www.mavericklanding.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$93,500",24 months,Arts & Creativity
Mercy Corps,http://www.mercycorps.org,"To rehabilitate two micro-watershed areas in the Matheux and build environmental resilience in the Commune of Arcahaie, Haiti.",9/11/2013,"$1,046,000",18 months,Global
Mothers2Mothers,http://www.m2m.org,To expand the Mother Mentor Model to reduce mother-to-child transmission of HIV in Kenya.,9/11/2013,"$600,000",24 months,Global
One Acre Fund,http://www.oneacrefund.org,To expand climate-resilience and solar-lighting programs for farm families in Kenya and Rwanda.,9/11/2013,"$3,700,000",36 months,Global
"Project HIP-HOP, Inc.",http://www.projecthiphop.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$102,000",24 months,Arts & Creativity
Project R.I.G.H.T.,http://www.projectright.org,"To support the Boston United for Students Coalition, working with School Site Councils in eight schools in East Boston, Roxbury, and Dorchester to increase student and parent involvement.",9/11/2013,"$150,000",12 months,Education
"Rockefeller Brothers Fund, Inc.",http://www.rbf.org,"To develop several large clean-energy markets, including markets for low- and no-emissions buildings, electric vehicles, and renewable energy, especially offshore wind and solar.",9/11/2013,"$1,000,000",12 months,Climate
"Sociedad Latina, Inc.",http://www.sociedadlatina.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
Technical Development Corporation,http://www.tdcorp.org,To support the Culture for Change initiative.,9/11/2013,"$390,000",28 months,Arts & Creativity
The Achievement Network Ltd,http://www.achievementnetwork.org,"To expand student assessment tools and services into all Boston public elementary, middle, and K–8 schools.",9/11/2013,"$500,000",48 months,Education
"Theater Offensive, Inc.",http://www.thetheateroffensive.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$110,500",24 months,Arts & Creativity
"The Massachusetts Institute for a New Commonwealth, Inc.",http://www.massinc.org,To research and publish a policy brief on transit service best practices to inform Massachusetts’ 15 Regional Transit Authorities’ new service plans.,9/11/2013,"$50,000",6 months,Climate
UP Education Network,http://www.unlocking-potential.org,To build capacity and support the launch of the UP Academy Charter School of Dorchester.,9/11/2013,"$200,000",12 months,Education
"Urbano Project, Inc.",http://www.urbanoproject.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$102,000",24 months,Arts & Creativity
"WalkBoston, Inc.",http://www.walkboston.org,To participate on the Massachusetts Bicycle and Pedestrian Advisory Board and to expand the Safe Routes to School program.,9/11/2013,"$300,000",36 months,Climate
"West End House, Inc.",http://www.westendhouse.org,To provide multi-year program support as a member of a cohort of youth arts development organizations through the Culture for Change initiative.,9/11/2013,"$85,000",24 months,Arts & Creativity
Wheelock College,http://www.wheelock.edu,"To support year two of the Boston Family Engagement Partnership, working with eleven Boston district, charter, and parochial schools.",9/11/2013,"$140,000",12 months,Education
Wheelock College,http://www.wheelock.edu,To launch the Boston Compact Leadership Initiative.,9/11/2013,"$50,000",12 months,Education
"Young Peoples Project, Inc.",http://www.typp.org,To support the Dudley Math Promise community-wide initiative to increase students’ math literacy in Boston’s Dudley neighborhood.,9/11/2013,"$993,000",48 months,Education
"YouthBuild USA, Inc.",http://www.youthbuild.org,To support Youth On Board's co-administration of the Boston Student Advisory Council.,9/11/2013,"$100,000",12 months,Education
Northeast Sustainable Energy Association,http://www.nesea.org,"To support the Net-Zero Energy Designs student design competition for Holyoke, Massachusetts.",8/15/2013,"$9,000",12 months,Climate
